EPOCHS,LOSS,ACC,VAL_LOSS,VAL_ACC,TIME
0,0.704561710357666,0.559880256652832,0.676199197769165,0.5,104.17267155647278
1,0.6322205066680908,0.6242514848709106,0.5833626985549927,0.7090908885002136,79.08871936798096
2,0.5084525942802429,0.809880256652832,0.437640517950058,0.8999999761581421,80.17515420913696
3,0.3758360743522644,0.8892215490341187,0.299454927444458,0.9363636374473572,83.09278416633606
4,0.26836180686950684,0.9191616773605347,0.21065451204776764,0.9545454382896423,80.45571899414062
5,0.2052588164806366,0.932634711265564,0.2527099549770355,0.8999999761581421,78.64206719398499
6,0.178677037358284,0.946107804775238,0.1337418258190155,0.9818181991577148,79.56269335746765
7,0.15004219114780426,0.9491018056869507,0.10754841566085815,0.9818181991577148,77.5532922744751
8,0.13157960772514343,0.961077868938446,0.1355827897787094,0.9545454382896423,76.60234880447388
9,0.11195006966590881,0.970059871673584,0.09758365154266357,0.9636363387107849,77.03490853309631
10,0.10993440449237823,0.9670658707618713,0.15776868164539337,0.9545454382896423,78.62665486335754
11,0.0980948731303215,0.976047933101654,0.09011524170637131,0.9636363387107849,76.92928338050842
12,0.10446304827928543,0.970059871673584,0.0997856929898262,0.9636363387107849,78.35553407669067
13,0.10732957720756531,0.9670658707618713,0.1336991786956787,0.9545454382896423,79.80495381355286
14,0.08660349249839783,0.976047933101654,0.122385174036026,0.9545454382896423,81.60487461090088
15,0.07530482113361359,0.976047933101654,0.0964922308921814,0.9727272987365723,81.68465685844421
16,0.06971514225006104,0.9805389046669006,0.06633446365594864,0.9727272987365723,78.99488615989685
17,0.06584823876619339,0.9715569019317627,0.0805450901389122,0.9727272987365723,79.57041263580322
18,0.04965123161673546,0.9865269660949707,0.10865375399589539,0.9454545378684998,78.46401357650757
19,0.06488358229398727,0.9820359349250793,0.08557621389627457,0.9636363387107849,77.17455101013184
20,0.04686371237039566,0.9820359349250793,0.04817841574549675,0.9818181991577148,77.22043800354004
21,0.049727633595466614,0.9820359349250793,0.1215398907661438,0.9454545378684998,77.94572806358337
22,0.04921010881662369,0.9865269660949707,0.05233525484800339,0.9727272987365723,77.95032501220703
23,0.030608579516410828,0.992514967918396,0.03659720718860626,0.9909090995788574,77.91712832450867
24,0.05102205649018288,0.9790419340133667,0.032829608768224716,0.9909090995788574,76.8522641658783
25,0.03321612626314163,0.9910179376602173,0.027255937457084656,1.0,76.94684290885925
26,0.028924008831381798,0.9940119981765747,0.03776444122195244,0.9818181991577148,77.39803862571716
27,0.028599921613931656,0.992514967918396,0.038296595215797424,0.9818181991577148,77.93830633163452
28,0.02820395864546299,0.9910179376602173,0.03329092264175415,0.9909090995788574,79.74090194702148
29,0.03304373472929001,0.992514967918396,0.04977206885814667,0.9727272987365723,78.49425840377808
30,0.024104423820972443,0.992514967918396,0.03807438910007477,0.9818181991577148,130.77291584014893
31,0.022603267803788185,0.992514967918396,0.03473344445228577,0.9909090995788574,90.67249131202698
32,0.02239079214632511,0.992514967918396,0.02403292804956436,0.9909090995788574,91.74190831184387
33,0.008343486115336418,0.9985029697418213,0.007129708305001259,1.0,91.48436784744263
34,0.010946602560579777,0.9970059990882874,0.0355185829102993,0.9818181991577148,91.7470223903656
35,0.00543424766510725,0.9985029697418213,0.03989739343523979,0.9909090995788574,92.70681142807007
