EPOCHS,LOSS,ACC,VAL_LOSS,VAL_ACC
0,0.7521135807037354,0.4523809552192688,0.6883192658424377,0.5272727012634277
1,0.7119467854499817,0.45807453989982605,0.679591953754425,0.5454545617103577
2,0.6924411058425903,0.49534162878990173,0.6753534078598022,0.5545454621315002
3,0.6906697750091553,0.5031055808067322,0.6724175214767456,0.5454545617103577
4,0.6884430050849915,0.5093167424201965,0.6703296303749084,0.6363636255264282
5,0.6899091005325317,0.5295031070709229,0.66571044921875,0.6727272868156433
6,0.6770968437194824,0.5559006333351135,0.6581241488456726,0.7272727489471436
7,0.6639865636825562,0.6164596080780029,0.646744966506958,0.7545454502105713
8,0.6610954999923706,0.6226708292961121,0.6370863914489746,0.8090909123420715
9,0.6413301825523376,0.6987577676773071,0.6222457885742188,0.8272727131843567
10,0.6386273503303528,0.6770186424255371,0.6037864089012146,0.8454545736312866
11,0.623139500617981,0.7251552939414978,0.5875972509384155,0.8636363744735718
12,0.6000348925590515,0.7468944191932678,0.5581717491149902,0.8818181753158569
13,0.5695273876190186,0.793154776096344,0.5231212377548218,0.8999999761581421
14,0.5287603139877319,0.804347813129425,0.4866348206996918,0.9090909361839294
15,0.5032111406326294,0.8322981595993042,0.45125266909599304,0.9090909361839294
16,0.4467933475971222,0.8773291707038879,0.4043845534324646,0.918181836605072
17,0.41660580039024353,0.8680124282836914,0.3824651837348938,0.9090909361839294
18,0.3751341700553894,0.8850931525230408,0.3202660381793976,0.9090909361839294
19,0.3211797773838043,0.899068295955658,0.29913946986198425,0.9090909361839294
20,0.30270668864250183,0.9177018404006958,0.2896871864795685,0.9272727370262146
21,0.2888587713241577,0.9052795171737671,0.24840490520000458,0.9090909361839294
22,0.26136842370033264,0.9192546606063843,0.24459867179393768,0.9090909361839294
23,0.2417626976966858,0.9316770434379578,0.21500718593597412,0.918181836605072
24,0.23629890382289886,0.9239130616188049,0.21233198046684265,0.9090909361839294
25,0.22098501026630402,0.9363353848457336,0.19388528168201447,0.918181836605072
26,0.21574802696704865,0.9208074808120728,0.20279556512832642,0.9090909361839294
27,0.21458062529563904,0.9316770434379578,0.19743618369102478,0.9090909361839294
28,0.18086308240890503,0.9518633484840393,0.1766102910041809,0.9363636374473572
29,0.19611792266368866,0.9425466060638428,0.17598439753055573,0.9272727370262146
30,0.1573677361011505,0.9549689292907715,0.12183798104524612,0.9454545378684998
31,0.15212193131446838,0.9596273303031921,0.10280763357877731,0.9727272987365723
32,0.12685486674308777,0.9534161686897278,0.09364622831344604,0.9818181991577148
33,0.13257506489753723,0.9642857313156128,0.08255557715892792,0.9818181991577148
34,0.10814260691404343,0.9736024737358093,0.0700601190328598,0.9818181991577148
35,0.10387742519378662,0.9704968929290771,0.06744465231895447,0.9818181991577148
36,0.09971476346254349,0.9736024737358093,0.06285031139850616,0.9818181991577148
37,0.07494928687810898,0.97826087474823,0.044500984251499176,1.0
38,0.06777001917362213,0.9813664555549622,0.04354221001267433,1.0
39,0.07737984508275986,0.9813664555549622,0.03759713098406792,0.9909090995788574
40,0.0707186684012413,0.9813664555549622,0.04215197637677193,0.9909090995788574
41,0.07156945019960403,0.9813664555549622,0.05653242766857147,0.9909090995788574
42,0.04839501902461052,0.9875776171684265,0.02948635444045067,1.0
43,0.058183107525110245,0.9860248565673828,0.03914341330528259,0.9909090995788574
44,0.05654032155871391,0.9844720363616943,0.02925821579992771,1.0
45,0.05465804412961006,0.9844720363616943,0.02738225646317005,1.0
46,0.03946157544851303,0.9860248565673828,0.025013392791152,1.0
47,0.042931996285915375,0.9875776171684265,0.024452898651361465,1.0
48,0.048980556428432465,0.9860248565673828,0.022006578743457794,1.0
49,0.039446812123060226,0.9922360181808472,0.019526762887835503,1.0
50,0.03459622710943222,0.9937888383865356,0.018361896276474,1.0
51,0.04211513698101044,0.9875776171684265,0.019681677222251892,1.0
52,0.042208749800920486,0.989130437374115,0.01927250437438488,1.0
53,0.031532224267721176,0.9937888383865356,0.018194666132330894,1.0
54,0.027220802381634712,0.9922360181808472,0.0198320671916008,1.0
55,0.02885153517127037,0.9937888383865356,0.018605098128318787,1.0
56,0.03437686711549759,0.9910714030265808,0.017093904316425323,1.0
57,0.02928672730922699,0.9937888383865356,0.01733718439936638,1.0
58,0.022391315549612045,0.9968944191932678,0.013991252519190311,1.0
59,0.021981162950396538,0.9968944191932678,0.012214098125696182,1.0
60,0.025555666536092758,0.9937888383865356,0.012858711183071136,1.0
61,0.019529348239302635,0.9937888383865356,0.012652041390538216,1.0
62,0.028801502659916878,0.9937888383865356,0.01439919974654913,1.0
63,0.016944583505392075,0.9953415989875793,0.012672709301114082,1.0
64,0.019359176978468895,0.9953415989875793,0.011716694571077824,1.0
65,0.023623580113053322,0.9953415989875793,0.015060498379170895,1.0
66,0.015634242445230484,0.9968944191932678,0.010572955943644047,1.0
67,0.015100968070328236,0.9937888383865356,0.010639868676662445,1.0
68,0.017726678401231766,0.9937888383865356,0.010111359879374504,1.0
69,0.021199237555265427,0.9968944191932678,0.01593804731965065,1.0
